ticker,year_qtr,error
HCHC,2015_Q4,no_filings_found_or_downloaded
SGMS,2013_Q1,no_filings_found_or_downloaded
SGMS,2014_Q4,no_filings_found_or_downloaded
SGMS,2012_Q2,no_filings_found_or_downloaded
SGMS,2013_Q4,no_filings_found_or_downloaded
XIN,2016_Q3,no_filings_found_or_downloaded
XIN,2014_Q4,no_filings_found_or_downloaded
XIN,2013_Q2,no_filings_found_or_downloaded
XIN,2014_Q2,no_filings_found_or_downloaded
TECD,2016_Q3,no_filings_found_or_downloaded
TECD,2012_Q3,no_filings_found_or_downloaded
CATM,2016_Q3,no_filings_found_or_downloaded
CATM,2014_Q3,no_filings_found_or_downloaded
CATM,2015_Q3,no_filings_found_or_downloaded
MTSC,2016_Q2,no_filings_found_or_downloaded
BGG,2014_Q2,no_filings_found_or_downloaded
BGG,2015_Q1,no_filings_found_or_downloaded
BGG,2015_Q3,no_filings_found_or_downloaded
BTI,2016_Q4,no_filings_found_or_downloaded
UGP,2016_Q1,no_filings_found_or_downloaded
UGP,2012_Q2,no_filings_found_or_downloaded
UGP,2013_Q2,no_filings_found_or_downloaded
AT,2013_Q3,no_filings_found_or_downloaded
AT,2012_Q2,no_filings_found_or_downloaded
MGA,2015_Q4,no_filings_found_or_downloaded
CSIQ,2016_Q3,no_filings_found_or_downloaded
CSIQ,2015_Q3,no_filings_found_or_downloaded
ICLR,2016_Q1,no_filings_found_or_downloaded
KRA,2015_Q4,no_filings_found_or_downloaded
ETM,2012_Q2,no_filings_found_or_downloaded
NBL,2016_Q1,no_filings_found_or_downloaded
IRS,2010_Q4,no_filings_found_or_downloaded
CRESY,2012_Q4,no_filings_found_or_downloaded
CRESY,2012_Q2,no_filings_found_or_downloaded
CRESY,2014_Q3,no_filings_found_or_downloaded
